--- EVOLUTION RUN START ---
Attempt 1: Reached Depth 10 | Conquered: False | Global XP: 94
Attempt 2: Reached Depth 10 | Conquered: False | Global XP: 304
Attempt 3: Reached Depth 10 | Conquered: False | Global XP: 273
Attempt 4: Reached Depth 20 | Conquered: False | Global XP: 368
Attempt 5: Reached Depth 20 | Conquered: False | Global XP: 217
Attempt 6: Reached Depth 10 | Conquered: False | Global XP: 96
Attempt 7: Reached Depth 20 | Conquered: False | Global XP: 128
Attempt 8: Reached Depth 20 | Conquered: False | Global XP: 418
Attempt 9: Reached Depth 10 | Conquered: False | Global XP: 63
Attempt 10: Reached Depth 20 | Conquered: False | Global XP: 410
Attempt 11: Reached Depth 10 | Conquered: False | Global XP: 150
Attempt 12: Reached Depth 10 | Conquered: False | Global XP: 271
Attempt 13: Reached Depth 17 | Conquered: False | Global XP: 153
Attempt 14: Reached Depth 20 | Conquered: False | Global XP: 442
Attempt 15: Reached Depth 20 | Conquered: False | Global XP: 435
Attempt 16: Reached Depth 20 | Conquered: False | Global XP: 209
Attempt 17: Reached Depth 20 | Conquered: False | Global XP: 293
Attempt 18: Reached Depth 20 | Conquered: False | Global XP: 248
Attempt 19: Reached Depth 20 | Conquered: False | Global XP: 308
Attempt 20: Reached Depth 20 | Conquered: False | Global XP: 503
Attempt 21: Reached Depth 20 | Conquered: False | Global XP: 304
Attempt 22: Reached Depth 30 | Conquered: False | Global XP: 358
Attempt 23: Reached Depth 22 | Conquered: False | Global XP: 420
Attempt 24: Reached Depth 20 | Conquered: False | Global XP: 134
Attempt 25: Reached Depth 20 | Conquered: False | Global XP: 308
Attempt 26: Reached Depth 20 | Conquered: False | Global XP: 316
Attempt 27: Reached Depth 20 | Conquered: False | Global XP: 158
Attempt 28: Reached Depth 30 | Conquered: False | Global XP: 185
Attempt 29: Reached Depth 30 | Conquered: False | Global XP: 358
Attempt 30: Reached Depth 30 | Conquered: False | Global XP: 287
Attempt 31: Reached Depth 21 | Conquered: False | Global XP: 579
Attempt 32: Reached Depth 30 | Conquered: False | Global XP: 452
Attempt 33: Reached Depth 30 | Conquered: False | Global XP: 318
Attempt 34: Reached Depth 20 | Conquered: False | Global XP: 238
Attempt 35: Reached Depth 30 | Conquered: False | Global XP: 561
Attempt 36: Reached Depth 30 | Conquered: False | Global XP: 161
Attempt 37: Reached Depth 20 | Conquered: False | Global XP: 464
Attempt 38: Reached Depth 30 | Conquered: False | Global XP: 129
Attempt 39: Reached Depth 30 | Conquered: False | Global XP: 534
Attempt 40: Reached Depth 30 | Conquered: False | Global XP: 297
Attempt 41: Reached Depth 20 | Conquered: False | Global XP: 362
Attempt 42: Reached Depth 30 | Conquered: False | Global XP: 706
Attempt 43: Reached Depth 30 | Conquered: False | Global XP: 625
Attempt 44: Reached Depth 30 | Conquered: False | Global XP: 584
Attempt 45: Reached Depth 30 | Conquered: False | Global XP: 600
Attempt 46: Reached Depth 30 | Conquered: False | Global XP: 299
Attempt 47: Reached Depth 30 | Conquered: False | Global XP: 226
Attempt 48: Reached Depth 50 | Conquered: False | Global XP: 1385
Attempt 49: Reached Depth 40 | Conquered: False | Global XP: 381
Attempt 50: Reached Depth 30 | Conquered: False | Global XP: 517
Attempt 51: Reached Depth 35 | Conquered: False | Global XP: 553
Attempt 52: Reached Depth 30 | Conquered: False | Global XP: 508
Attempt 53: Reached Depth 30 | Conquered: False | Global XP: 441
Attempt 54: Reached Depth 30 | Conquered: False | Global XP: 72
Attempt 55: Reached Depth 50 | Conquered: False | Global XP: 1476
Attempt 56: Reached Depth 50 | Conquered: False | Global XP: 657
Attempt 57: Reached Depth 50 | Conquered: False | Global XP: 517
Attempt 58: Reached Depth 50 | Conquered: False | Global XP: 128
Attempt 59: Reached Depth 50 | Conquered: False | Global XP: 853
Attempt 60: Reached Depth 50 | Conquered: False | Global XP: 987
Attempt 61: Reached Depth 50 | Conquered: False | Global XP: 626
Attempt 62: Reached Depth 50 | Conquered: False | Global XP: 1529
Attempt 63: Reached Depth 60 | Conquered: False | Global XP: 1000
Attempt 64: Reached Depth 60 | Conquered: False | Global XP: 701
Attempt 65: Reached Depth 60 | Conquered: False | Global XP: 217
Attempt 66: Reached Depth 60 | Conquered: False | Global XP: 721
Attempt 67: Reached Depth 60 | Conquered: False | Global XP: 2696
Attempt 68: Reached Depth 70 | Conquered: False | Global XP: 3240
Attempt 69: Reached Depth 70 | Conquered: False | Global XP: 2191
Attempt 70: Reached Depth 70 | Conquered: False | Global XP: 1326
Attempt 71: Reached Depth 80 | Conquered: False | Global XP: 2892
Attempt 72: Reached Depth 80 | Conquered: False | Global XP: 4442
Attempt 73: Reached Depth 80 | Conquered: False | Global XP: 3964
Attempt 74: Reached Depth 80 | Conquered: False | Global XP: 4272
Attempt 75: Reached Depth 80 | Conquered: False | Global XP: 3954
Attempt 76: Reached Depth 90 | Conquered: False | Global XP: 5527
Attempt 77: Reached Depth 90 | Conquered: False | Global XP: 5900
Attempt 78: Reached Depth 100 | Conquered: False | Global XP: 6553
Attempt 79: Reached Depth 95 | Conquered: False | Global XP: 5389
Attempt 80: Reached Depth 100 | Conquered: True | Global XP: 8665
!!! LABYRINTH CONQUERED IN 80 ATTEMPTS !!!
